"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1990","Belgium","Total","Age in completed years","Number","Total","32,502",""
"1990","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1990","Czechia","Total","Age in completed years","Number","Total",":",""
"1990","Denmark","Total","Age in completed years","Number","Total","32,383",""
"1990","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","610,595",""
"1990","Estonia","Total","Age in completed years","Number","Total",":",""
"1990","Ireland","Total","Age in completed years","Number","Total","40,550",""
"1990","Greece","Total","Age in completed years","Number","Total",":",""
"1990","Spain","Total","Age in completed years","Number","Total",":",""
"1990","France","Total","Age in completed years","Number","Total",":",""
"1990","Croatia","Total","Age in completed years","Number","Total",":",""
"1990","Italy","Total","Age in completed years","Number","Total","55,989",""
"1990","Cyprus","Total","Age in completed years","Number","Total",":",""
"1990","Latvia","Total","Age in completed years","Number","Total",":",""
"1990","Lithuania","Total","Age in completed years","Number","Total","23,592",""
"1990","Luxembourg","Total","Age in completed years","Number","Total","6,339",""
"1990","Hungary","Total","Age in completed years","Number","Total",":",""
"1990","Malta","Total","Age in completed years","Number","Total",":",""
"1990","Netherlands","Total","Age in completed years","Number","Total","57,344",""
"1990","Austria","Total","Age in completed years","Number","Total",":",""
"1990","Poland","Total","Age in completed years","Number","Total","18,440",""
"1990","Portugal","Total","Age in completed years","Number","Total",":",""
"1990","Romania","Total","Age in completed years","Number","Total",":",""
"1990","Slovenia","Total","Age in completed years","Number","Total","4,908",""
"1990","Slovakia","Total","Age in completed years","Number","Total","867",""
"1990","Finland","Total","Age in completed years","Number","Total","6,477",""
"1990","Sweden","Total","Age in completed years","Number","Total","25,196",""
"1990","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1990","Iceland","Total","Age in completed years","Number","Total","3,847",""
"1990","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1990","Norway","Total","Age in completed years","Number","Total","23,784",""
"1990","Switzerland","Total","Age in completed years","Number","Total","97,601",""
"1990","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1990","Belarus","Total","Age in completed years","Number","Total",":",""
"1990","Moldova","Total","Age in completed years","Number","Total",":",""
"1990","Russia","Total","Age in completed years","Number","Total",":",""
"1990","San Marino","Total","Age in completed years","Number","Total",":",""
"1990","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1990","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1990","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1990","Armenia","Total","Age in completed years","Number","Total",":",""
"1990","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"1991","Belgium","Total","Age in completed years","Number","Total","33,752",""
"1991","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1991","Czechia","Total","Age in completed years","Number","Total",":",""
"1991","Denmark","Total","Age in completed years","Number","Total","32,629",""
"1991","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","596,455",""
"1991","Estonia","Total","Age in completed years","Number","Total",":",""
"1991","Ireland","Total","Age in completed years","Number","Total","33,875",""
"1991","Greece","Total","Age in completed years","Number","Total","64,628",""
"1991","Spain","Total","Age in completed years","Number","Total",":",""
"1991","France","Total","Age in completed years","Number","Total",":",""
"1991","Croatia","Total","Age in completed years","Number","Total","8,647",""
"1991","Italy","Total","Age in completed years","Number","Total","57,730",""
"1991","Cyprus","Total","Age in completed years","Number","Total",":",""
"1991","Latvia","Total","Age in completed years","Number","Total","29,729",""
"1991","Lithuania","Total","Age in completed years","Number","Total","22,503",""
"1991","Luxembourg","Total","Age in completed years","Number","Total","6,740",""
"1991","Hungary","Total","Age in completed years","Number","Total",":",""
"1991","Malta","Total","Age in completed years","Number","Total",":",""
"1991","Netherlands","Total","Age in completed years","Number","Total","57,328",""
"1991","Austria","Total","Age in completed years","Number","Total",":",""
"1991","Poland","Total","Age in completed years","Number","Total","20,977",""
"1991","Portugal","Total","Age in completed years","Number","Total","37,336",""
"1991","Romania","Total","Age in completed years","Number","Total",":",""
"1991","Slovenia","Total","Age in completed years","Number","Total","9,060",""
"1991","Slovakia","Total","Age in completed years","Number","Total","527",""
"1991","Finland","Total","Age in completed years","Number","Total","5,984",""
"1991","Sweden","Total","Age in completed years","Number","Total","24,745",""
"1991","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1991","Iceland","Total","Age in completed years","Number","Total","2,982",""
