"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1990","Belgium","Age in completed years","Total","Number","Total","62,662",""
"1990","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1990","Czechia","Age in completed years","Total","Number","Total",":",""
"1990","Denmark","Age in completed years","Total","Number","Total","40,715",""
"1990","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,256,250",""
"1990","Estonia","Age in completed years","Total","Number","Total",":",""
"1990","Ireland","Age in completed years","Total","Number","Total","33,000",""
"1990","Greece","Age in completed years","Total","Number","Total",":",""
"1990","Spain","Age in completed years","Total","Number","Total","33,966",""
"1990","France","Age in completed years","Total","Number","Total",":",""
"1990","Croatia","Age in completed years","Total","Number","Total",":",""
"1990","Italy","Age in completed years","Total","Number","Total","166,754",""
"1990","Cyprus","Age in completed years","Total","Number","Total",":",""
"1990","Latvia","Age in completed years","Total","Number","Total",":",""
"1990","Lithuania","Age in completed years","Total","Number","Total","14,744",""
"1990","Luxembourg","Age in completed years","Total","Number","Total","10,281",""
"1990","Hungary","Age in completed years","Total","Number","Total",":",""
"1990","Malta","Age in completed years","Total","Number","Total",":",""
"1990","Netherlands","Age in completed years","Total","Number","Total","117,350",""
"1990","Austria","Age in completed years","Total","Number","Total",":",""
"1990","Poland","Age in completed years","Total","Number","Total","2,626",""
"1990","Portugal","Age in completed years","Total","Number","Total",":",""
"1990","Romania","Age in completed years","Total","Number","Total",":",""
"1990","Slovenia","Age in completed years","Total","Number","Total","7,075",""
"1990","Slovakia","Age in completed years","Total","Number","Total","944",""
"1990","Finland","Age in completed years","Total","Number","Total","13,558",""
"1990","Sweden","Age in completed years","Total","Number","Total","60,048",""
"1990","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1990","Iceland","Age in completed years","Total","Number","Total","3,166",""
"1990","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1990","Norway","Age in completed years","Total","Number","Total","25,494",""
"1990","Switzerland","Age in completed years","Total","Number","Total","154,244",""
"1991","Belgium","Age in completed years","Total","Number","Total","67,460",""
"1991","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1991","Czechia","Age in completed years","Total","Number","Total",":",""
"1991","Denmark","Age in completed years","Total","Number","Total","43,567",""
"1991","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,198,978",""
"1991","Estonia","Age in completed years","Total","Number","Total",":",""
"1991","Ireland","Age in completed years","Total","Number","Total","33,000",""
"1991","Greece","Age in completed years","Total","Number","Total","151,978",""
"1991","Spain","Age in completed years","Total","Number","Total","24,320",""
"1991","France","Age in completed years","Total","Number","Total",":",""
"1991","Croatia","Age in completed years","Total","Number","Total","10,050",""
"1991","Italy","Age in completed years","Total","Number","Total","126,935",""
"1991","Cyprus","Age in completed years","Total","Number","Total",":",""
"1991","Latvia","Age in completed years","Total","Number","Total","14,684",""
"1991","Lithuania","Age in completed years","Total","Number","Total","11,828",""
"1991","Luxembourg","Age in completed years","Total","Number","Total","10,913",""
"1991","Hungary","Age in completed years","Total","Number","Total",":",""
"1991","Malta","Age in completed years","Total","Number","Total",":",""
"1991","Netherlands","Age in completed years","Total","Number","Total","120,249",""
"1991","Austria","Age in completed years","Total","Number","Total",":",""
"1991","Poland","Age in completed years","Total","Number","Total","5,040",""
"1991","Portugal","Age in completed years","Total","Number","Total","4,507",""
"1991","Romania","Age in completed years","Total","Number","Total",":",""
"1991","Slovenia","Age in completed years","Total","Number","Total","5,989",""
"1991","Slovakia","Age in completed years","Total","Number","Total","1,752",""
"1991","Finland","Age in completed years","Total","Number","Total","19,001",""
"1991","Sweden","Age in completed years","Total","Number","Total","49,731",""
"1991","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1991","Iceland","Age in completed years","Total","Number","Total","3,989",""
"1991","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1991","Norway","Age in completed years","Total","Number","Total","26,283",""
"1991","Switzerland","Age in completed years","Total","Number","Total","164,773",""
"1992","Belgium","Age in completed years","Total","Number","Total","66,763",""
"1992","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1992","Czechia","Age in completed years","Total","Number","Total",":",""
"1992","Denmark","Age in completed years","Total","Number","Total","43,377",""
"1992","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,502,198",""
"1992","Estonia","Age in completed years","Total","Number","Total",":",""
"1992","Ireland","Age in completed years","Total","Number","Total","41,000",""
"1992","Greece","Age in completed years","Total","Number","Total","110,334",""
"1992","Spain","Age in completed years","Total","Number","Total","38,882",""
"1992","France","Age in completed years","Total","Number","Total",":",""
