"TIME","GEO","INDIC_DE","Value"
"1960","Belgium","Average population - total","9,153,489"
"1960","Belgium","Live births - total","153,659"
"1960","Belgium","Deaths - total","113,938"
"1960","Bulgaria","Average population - total","7,867,374"
"1960","Bulgaria","Live births - total","140,082"
"1960","Bulgaria","Deaths - total","63,665"
"1960","Czechia","Average population - total","9,602,006"
"1960","Czechia","Live births - total","128,879"
"1960","Czechia","Deaths - total","93,863"
"1960","Denmark","Average population - total","4,579,603"
"1960","Denmark","Live births - total","76,077"
"1960","Denmark","Deaths - total","43,681"
"1960","Germany (until 1990 former territory of the FRG)","Average population - total","55,607,705"
"1960","Germany (until 1990 former territory of the FRG)","Live births - total","968,629"
"1960","Germany (until 1990 former territory of the FRG)","Deaths - total","642,962"
"1960","Germany including former GDR","Average population - total","72,814,900"
"1960","Germany including former GDR","Live births - total","1,261,614"
"1960","Germany including former GDR","Deaths - total","876,721"
"1960","Estonia","Average population - total","1,211,537"
"1960","Estonia","Live births - total","20,187"
"1960","Estonia","Deaths - total","12,738"
"1960","Ireland","Average population - total","2,828,600"
"1960","Ireland","Live births - total","60,735"
"1960","Ireland","Deaths - total","32,660"
"1960","Greece","Average population - total","8,331,725"
"1960","Greece","Live births - total","157,239"
"1960","Greece","Deaths - total","60,563"
"1960","Spain","Average population - total","30,455,000"
"1960","Spain","Live births - total","660,129"
"1960","Spain","Deaths - total","262,260"
"1960","France","Average population - total",":"
"1960","France","Live births - total",":"
"1960","France","Deaths - total",":"
"1960","France (metropolitan)","Average population - total","45,684,227"
"1960","France (metropolitan)","Live births - total","816,296"
"1960","France (metropolitan)","Deaths - total","521,092"
"1960","Croatia","Average population - total","4,140,181"
"1960","Croatia","Live births - total","76,156"
"1960","Croatia","Deaths - total","41,361"
"1960","Italy","Average population - total","50,199,700"
"1960","Italy","Live births - total","910,192"
"1960","Italy","Deaths - total","480,932"
"1960","Cyprus","Average population - total","572,783"
"1960","Cyprus","Live births - total",":"
"1960","Cyprus","Deaths - total",":"
"1960","Latvia","Average population - total","2,120,979"
"1960","Latvia","Live births - total","35,468"
"1960","Latvia","Deaths - total","21,314"
"1960","Lithuania","Average population - total","2,778,550"
"1960","Lithuania","Live births - total","62,485"
"1960","Lithuania","Deaths - total","21,611"
"1960","Luxembourg","Average population - total","313,970"
"1960","Luxembourg","Live births - total","5,019"
"1960","Luxembourg","Deaths - total","3,716"
"1960","Hungary","Average population - total","9,983,512"
"1960","Hungary","Live births - total","146,461"
"1960","Hungary","Deaths - total","101,525"
"1960","Malta","Average population - total","326,550"
"1960","Malta","Live births - total","8,565"
"1960","Malta","Deaths - total","2,819"
"1960","Netherlands","Average population - total","11,486,631"
"1960","Netherlands","Live births - total","239,128"
"1960","Netherlands","Deaths - total","87,486"
"1960","Austria","Average population - total","7,047,539"
"1960","Austria","Live births - total","125,945"
"1960","Austria","Deaths - total","89,603"
"1960","Poland","Average population - total","29,637,450"
"1960","Poland","Live births - total","669,485"
"1960","Poland","Deaths - total","224,167"
"1960","Portugal","Average population - total","8,857,716"
"1960","Portugal","Live births - total","213,895"
"1960","Portugal","Deaths - total","95,009"
"1960","Romania","Average population - total","18,406,905"
"1960","Romania","Live births - total","352,241"
"1960","Romania","Deaths - total","160,720"
"1960","Slovenia","Average population - total","1,584,720"
"1960","Slovenia","Live births - total","27,825"
"1960","Slovenia","Deaths - total","15,145"
"1960","Slovakia","Average population - total","4,068,095"
"1960","Slovakia","Live births - total","88,412"
"1960","Slovakia","Deaths - total","31,609"
"1960","Finland","Average population - total","4,429,634"
"1960","Finland","Live births - total","82,129"
"1960","Finland","Deaths - total","39,797"
"1960","Sweden","Average population - total","7,484,656"
"1960","Sweden","Live births - total","102,219"
"1960","Sweden","Deaths - total","75,093"
"1960","United Kingdom","Average population - total","52,400,000"
"1960","United Kingdom","Live births - total","918,286"
"1960","United Kingdom","Deaths - total","603,300"
"1960","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Average population - total","412,141,296"
"1960","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Live births - total",":"
"1960","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Deaths - total",":"
"1960","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Average population - total","408,001,115"
"1960","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Live births - total",":"
"1960","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Deaths - total",":"
"1960","European Free Trade Association","Average population - total","9,101,091"
"1960","European Free Trade Association","Live births - total","161,548"
"1960","European Free Trade Association","Deaths - total","85,821"
"1960","Iceland","Average population - total","175,574"
"1960","Iceland","Live births - total","4,916"
"1960","Iceland","Deaths - total","1,167"
"1960","Liechtenstein","Average population - total","16,451"
"1960","Liechtenstein","Live births - total","380"
"1960","Liechtenstein","Deaths - total","123"
"1960","Norway","Average population - total","3,581,239"
"1960","Norway","Live births - total","61,880"
"1960","Norway","Deaths - total","32,437"
"1960","Switzerland","Average population - total","5,327,827"
"1960","Switzerland","Live births - total","94,372"
"1960","Switzerland","Deaths - total","52,094"
"1960","Montenegro","Average population - total",":"
"1960","Montenegro","Live births - total",":"
"1960","Montenegro","Deaths - total",":"
"1960","North Macedonia","Average population - total","1,391,927"
"1960","North Macedonia","Live births - total","44,059"
"1960","North Macedonia","Deaths - total","14,007"
"1960","Albania","Average population - total","1,608,800"
"1960","Albania","Live births - total","69,686"
"1960","Albania","Deaths - total","16,775"
"1960","Serbia","Average population - total",":"
"1960","Serbia","Live births - total",":"
"1960","Serbia","Deaths - total",":"
"1960","Turkey","Average population - total","27,437,520"
"1960","Turkey","Live births - total",":"
"1960","Turkey","Deaths - total",":"
"1960","Andorra","Average population - total",":"
"1960","Andorra","Live births - total",":"
"1960","Andorra","Deaths - total",":"
"1960","Belarus","Average population - total",":"
"1960","Belarus","Live births - total",":"
"1960","Belarus","Deaths - total",":"
"1960","Bosnia and Herzegovina","Average population - total","3,238,989"
"1960","Bosnia and Herzegovina","Live births - total","110,499"
"1960","Bosnia and Herzegovina","Deaths - total","33,360"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - total","945,250"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Live births - total","41,631"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Deaths - total","13,365"
"1960","Moldova","Average population - total",":"
"1960","Moldova","Live births - total",":"
